age,workclass,education,occupation,income
0,0,5, United-States, <=50K
0,0,19, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
15024,0,44, Iran, >50K
0,0,38, United-States, >50K
0,0,13, United-States, <=50K
0,0,10, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,0,20, United-States, <=50K
0,0,49, United-States, <=50K
0,0,22, United-States, <=50K
0,0,34, United-States, <=50K
0,0,6, United-States, <=50K
0,0,36, United-States, <=50K
0,0,28, United-States, <=50K
0,0,32, United-States, >50K
0,0,36, United-States, <=50K
0,0,38, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,22, United-States, >50K
0,0,28, United-States, <=50K
7298,0,23, United-States, >50K
0,0,10, United-States, <=50K
0,0,28, United-States, <=50K
0,19,28, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,22, United-States, <=50K
0,0,28, United-States, <=50K
0,0,44, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,0,28, United-States, >50K
0,0,33, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,14, United-States, <=50K
15024,0,28, United-States, >50K
0,0,28, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,19,45, United-States, >50K
0,0,28, United-States, <=50K
0,0,5, United-States, <=50K
0,0,28, United-States, <=50K
0,0,38, Italy, >50K
0,0,10, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,0,40, United-States, <=50K
5178,0,33, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,5,28, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,52, United-States, <=50K
0,0,22, United-States, <=50K
0,0,38, United-States, <=50K
0,0,44, United-States, >50K
0,0,9, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
3908,0,40, United-States, <=50K
0,0,25, United-States, <=50K
0,0,28, United-States, <=50K
3411,0,38, United-States, <=50K
0,0,28, United-States, <=50K
0,0,14, United-States, <=50K
0,0,36, United-States, <=50K
0,0,22, United-States, <=50K
0,0,38, United-States, >50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, >50K
0,0,54, United-States, <=50K
0,0,40, United-States, >50K
0,0,28, United-States, <=50K
0,0,14, United-States, <=50K
0,0,49, United-States, >50K
0,0,24, United-States, <=50K
0,0,28, United-States, <=50K
15024,0,41, United-States, >50K
0,0,44, United-States, <=50K
0,0,9, United-States, >50K
0,0,28, United-States, <=50K
0,0,10, United-States, >50K
0,0,38, United-States, <=50K
8614,0,28, United-States, >50K
0,0,34, United-States, >50K
14084,0,32, United-States, >50K
0,0,18, United-States, <=50K
0,0,40, United-States, >50K
0,0,28, Cambodia, >50K
8614,0,33, United-States, >50K
0,0,28, United-States, <=50K
0,23,33, United-States, >50K
0,0,38, United-States, >50K
0,0,33, El-Salvador, >50K
0,0,4, United-States, >50K
0,0,38, United-States, <=50K
0,0,28, United-States, <=50K
0,0,44, United-States, >50K
0,0,39, United-States, <=50K
0,0,28, United-States, >50K
0,0,33, United-States, <=50K
0,9,36, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, United-States, <=50K
0,0,38, United-States, <=50K
0,0,0, United-States, <=50K
0,0,40, United-States, <=50K
0,0,24, United-States, <=50K
0,0,44, United-States, <=50K
594,0,22, United-States, <=50K
0,3,23, United-States, <=50K
0,0,33, United-States, >50K
0,0,5, United-States, <=50K
0,0,28, United-States, <=50K
5060,0,18, United-States, <=50K
0,0,28, United-States, <=50K
0,0,28, Philippines, >50K
2964,0,22, United-States, <=50K
0,0,28, United-States, <=50K
0,0,22, United-States, <=50K
0,0,28, United-States, >50K
0,0,36, United-States, <=50K
7688,0,28, United-States, >50K
0,16,40, United-States, <=50K
0,0,30, United-States, <=50K
0,0,33, ?, <=50K
27828,0,38, United-States, >50K
0,15,33, United-States, >50K
0,0,28, United-States, <=50K
0,0,33, United-States, >50K
0,0,38, United-States, <=50K
0,0,28, United-States, >50K
0,0,14, United-States, <=50K
0,0,28, Puerto-Rico, <=50K
0,0,28, United-States, <=50K
0,0,29, China, <=50K
0,15,38, United-States, >50K
0,0,44, United-States, <=50K
0,0,18, United-States, <=50K
0,0,28, United-States, <=50K
