job,marital,y
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
0,0,yes
1,1,no
