maint,doors,persons,lug_boot,class,buying_high,buying_vhigh,safety_high,safety_low,safety_med
vhigh,2,2,small,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,2,small,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,2,small,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,2,med,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,2,med,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,2,med,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,2,big,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,2,big,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,2,big,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,4,small,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,4,small,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,4,small,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,4,med,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,4,med,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,4,med,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,4,big,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,4,big,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,4,big,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,more,small,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,more,small,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,more,small,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,more,med,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,more,med,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,more,med,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,2,more,big,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,2,more,big,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,2,more,big,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,3,2,small,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,3,2,small,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,3,2,small,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,3,2,med,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,3,2,med,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,3,2,med,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,3,2,big,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,3,2,big,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,3,2,big,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,3,4,small,unacc,0.0,1.0,0.0,1.0,0.0
vhigh,3,4,small,unacc,0.0,1.0,0.0,0.0,1.0
vhigh,3,4,small,unacc,0.0,1.0,1.0,0.0,0.0
vhigh,3,4,med,unacc,0.0,1.0,0.0,1.0,0.0
