age,workclass,education,occupation,income
0,0,15, United-States, <=50K
0,0,32, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
15024,0,60, Iran, >50K
0,0,50, United-States, >50K
0,0,24, United-States, <=50K
0,0,20, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,33, United-States, <=50K
0,0,70, United-States, <=50K
0,0,35, United-States, <=50K
0,0,46, United-States, <=50K
0,0,16, United-States, <=50K
0,0,48, United-States, <=50K
0,0,40, United-States, <=50K
0,0,44, United-States, >50K
0,0,48, United-States, <=50K
0,0,50, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,35, United-States, >50K
0,0,40, United-States, <=50K
7298,0,36, United-States, >50K
0,0,20, United-States, <=50K
0,0,40, United-States, <=50K
0,2258,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,35, United-States, <=50K
0,0,40, United-States, <=50K
0,0,60, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,40, United-States, >50K
0,0,45, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,25, United-States, <=50K
15024,0,40, United-States, >50K
0,0,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,2258,62, United-States, >50K
0,0,40, United-States, <=50K
0,0,15, United-States, <=50K
0,0,40, United-States, <=50K
0,0,50, Italy, >50K
0,0,20, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,55, United-States, <=50K
5178,0,45, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,1564,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,8, United-States, <=50K
0,0,35, United-States, <=50K
0,0,50, United-States, <=50K
0,0,60, United-States, >50K
0,0,2, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
3908,0,55, United-States, <=50K
0,0,38, United-States, <=50K
0,0,40, United-States, <=50K
3411,0,50, United-States, <=50K
0,0,40, United-States, <=50K
0,0,25, United-States, <=50K
0,0,48, United-States, <=50K
0,0,35, United-States, <=50K
0,0,50, United-States, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,84, United-States, <=50K
0,0,55, United-States, >50K
0,0,40, United-States, <=50K
0,0,25, United-States, <=50K
0,0,70, United-States, >50K
0,0,37, United-States, <=50K
0,0,40, United-States, <=50K
15024,0,56, United-States, >50K
0,0,60, United-States, <=50K
0,0,2, United-States, >50K
0,0,40, United-States, <=50K
0,0,20, United-States, >50K
0,0,50, United-States, <=50K
8614,0,40, United-States, >50K
0,0,46, United-States, >50K
14084,0,44, United-States, >50K
0,0,30, United-States, <=50K
0,0,55, United-States, >50K
0,0,40, Cambodia, >50K
8614,0,45, United-States, >50K
0,0,40, United-States, <=50K
0,2824,45, United-States, >50K
0,0,50, United-States, >50K
0,0,45, El-Salvador, >50K
0,0,14, United-States, >50K
0,0,50, United-States, <=50K
0,0,40, United-States, <=50K
0,0,60, United-States, >50K
0,0,52, United-States, <=50K
0,0,40, United-States, >50K
0,0,45, United-States, <=50K
0,1740,48, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,50, United-States, <=50K
0,0,10, United-States, <=50K
0,0,55, United-States, <=50K
0,0,37, United-States, <=50K
0,0,60, United-States, <=50K
594,0,35, United-States, <=50K
0,1408,36, United-States, <=50K
0,0,45, United-States, >50K
0,0,15, United-States, <=50K
0,0,40, United-States, <=50K
5060,0,30, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, Philippines, >50K
2964,0,35, United-States, <=50K
0,0,40, United-States, <=50K
0,0,35, United-States, <=50K
0,0,40, United-States, >50K
0,0,48, United-States, <=50K
7688,0,40, United-States, >50K
0,1974,55, United-States, <=50K
0,0,42, United-States, <=50K
0,0,45, ?, <=50K
27828,0,50, United-States, >50K
0,1902,45, United-States, >50K
0,0,40, United-States, <=50K
0,0,45, United-States, >50K
0,0,50, United-States, <=50K
0,0,40, United-States, >50K
0,0,25, United-States, <=50K
0,0,40, Puerto-Rico, <=50K
0,0,40, United-States, <=50K
0,0,41, China, <=50K
0,1902,50, United-States, >50K
0,0,60, United-States, <=50K
0,0,30, United-States, <=50K
0,0,40, United-States, <=50K
0,0,55, United-States, <=50K
0,0,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,50, United-States, >50K
0,0,35, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, Mexico, <=50K
15024,0,40, United-States, >50K
0,0,50, United-States, <=50K
0,0,40, United-States, <=50K
0,0,4, United-States, <=50K
0,0,45, United-States, <=50K
0,0,40, United-States, <=50K
0,0,40, United-States, >50K
0,0,35, Ireland, <=50K
0,0,40, United-States, >50K
0,0,40, United-States, <=50K
0,0,55, United-States, >50K
0,0,40, Dominican-Republic, <=50K
7688,0,40, ?, >50K
2653,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,50, United-States, >50K
0,0,40, United-States, <=50K
0,0,6, United-States, >50K
0,0,50, United-States, <=50K
0,0,40, United-States, <=50K
0,1974,40, United-States, <=50K
0,0,50, ?, >50K
0,0,40, United-States, <=50K
0,0,40, United-States, <=50K
0,0,30, United-States, <=50K
