review,label
"From article <1993Apr5.200048.23421@ucsu.Colorado.EDU>, by lorenzo@rintintin.Colorado.EDU (Eric Lorenzo):

--Let me put it like this.  The only similarity between the three models
  is the ""300"", or 3-liter engine displacement.  Actually, the SC300 (the
  coupe) and the GS300 (the funky-looking new sedan) share the same 3.0
  liter inline-six, and the ES300 (popular small sedan) uses 3.0 V6 shared
  with the Camry.  The SC300 is a luxury/sports coupe, the GS300 is the new
  luxury sedan, and the ES300 is the base executive sedan.  All three look
  completely different.

--Aamir Qazi
-- ",0
"
Perhaps it is because witnesses who have left the compound have all
testified that the BATF shot first, they they did not identify themselves
before tossing in concussion grenades (not that anyone inside could have
_heard_ such identification after being near a concussion grenade) and
the announcement from the BATF that they have sealed the warrant under
which they were operating - which was a _search_ warrant, by the way,
_not_ an arrest warrant.  In short, perhaps because the BATF is wildly
out of control and perhaps calmer heads have realized that bombing a
compound full of woman and children will not improve their position.
There is a real chance that Koresh will be able to prove self-defense
in court.  That will leave - what? - four officers dead and no one to
blame but the BATF.

Followups directed to alt.activism, where the discussion has raged nearly
as long as the seige, and which shows every sign of not giving up nearly
as soon.

Larry Smith (smith@ctron.com)  No, I don't speak for Cabletron.  Need you ask?",0
"
If you don't already know it, you should call the bank/credit union/
finance company that holds the loan on your present car and get the
current payoff cost.

If you are trading in your current car on the new car, subtract the
payoff amount from the trade-in the dealer is giving you.  (If this
turns out to be a negative number, you need to reconsider the deal.)
Subtract this difference from the price of the new car.  This is the
size of the loan you will need for the new car.

The dealer will take care of paying off the loan on your old car out
of the money you give them when you pick up your new car.

At least that's how it worked for me 5 years ago in Ohio...



",0
"Well, there *is* a difference.

I don't happen to have my SAE manual handy, but oil viscosity in general
_decreases_ with temperature.  The SAE numbers are based on a `typical'
curve that oils used to all have, running from (say) the viscosity of a
room-temperature 90-weight at 0C, down to (say) that of a room-temperature 
5-weight at 20C, for a typical 40-weight oil.

Oils that are designed for operation in `normal' temperatures just have
a weight specification.  Oils that are designed for operation in exceedingly
cold temperatures have a `W' tacked on the end, so in winter in a cold
place, you'd stick 10W in your car in the winter and 40 in it in the summer,
to approximate the appropriate viscosity throughout the year.

Modern multi-viscosity oils change viscosity much less with temperature.
As a result, their viscosity graphs cross over several curves.  A multi-vis
specification pegs the curve at two temperatures, a `normal' operating
temperature and a `cold' one (though I can't remember the numbers...).

In any event, the weights do indicate a significant difference.  Remember
that your engine is temperature-regulated (by the thermostat and
radiator or air fins) most of the time -- unless you overheat it or
something.

Any weight of oil is better than no oil, or than very old, carbonized
oil.  Thin oil won't (in general) lubricate as well at temperature,
thicker oil will (like a 20W50) will lubricate better at temperature, 
but not as well during startup, when most engine wear occurs.  

If you're planning on making long drives, the 20W50 is probably fine
(esp. in the summer) in your 10W40 car.  But if you're making short drives,
stick to the 10W40.

",0
"Is clear coat really worth it?  Yes, on the showroom floor, the cars
have this deep, lustrous shine that just can't be found on paint jobs
that aren't clear coated.  On the other hand, it seems that every clear
coated car that I've seen on the road (in a parking lot, etc.) has
fine scratches throughout the paint job.  As does, alas, my 1992 Laser.

Several weeks ago I had my car professionally polished and waxed.
When I picked it up, it had that same showroom shine that I remember
from a year ago when I bought it.  Several days ago I took my car
to the dealership for some work.  As an added bonus, they washed my
car.  Unfortunately, whoever washed it either didn't get the roof
(which is black, the rest of the car is red) completely clean before
he dried it, or he used a dirty towel.  Now my showroom shine is a
haze of fine scratches that aren't really visible until the light
hits the roof at a particular angle.

I am, to put it mildy, somewhat peeved about this.  Do I have any 
chance of getting the dealership to do something about this?
My guess is 'no'.  Is there any product on the market that provides
a solution to this problem?  Or am I faced with the prospect of
having the car professionally polished again to hide the scratches?
Information, commiseration, and sympathy all greatly appreciated . . .",0
"
I don't understand the fascination with vent windows. They create a tremendous 
turbulence and noise that makes even a simple connversation impossible at 
speeds above 40mph. The current flow-throuh ventilation, if designed right, 
are far more superior.",0
Stuff deleted...,0
"Is there anyone out there in NetLand that has/has had one of these?


Can someone give me a non-Consumer Reports review (or point me to a source) ???


Thanks
Scott

-----------------------
sdexter@ucrengr.ucr.edu
	Computer Science Undergraduate,
	University of California, Riverside
	Internet :  138.23.166.21

sdexter@technet1.shl.com       
  	 Facilities Engineer,
	 SHL SystemHouse, Inc. ,Technology Network
         Internet : 192.75.61.2",0
"

Yes, however, with the top off and the rear window down this car is more 
like a convertible than a coupe.  Think of it as a convertible with an 
integrated roll-bar like addition.",0
You can be sure they wouldn't do it if it wasn't to their advantage.,0
"MK48T02 from thomsom.  It has a timekeeper (clock) and 512 bytes of NVRAM which
has a lithium battery backup.  The battery has a life of ~10 years of poweroff
operation.  Installed in a car it could be left powered on continuously and not
draw much current.  The battery would only be used when your auto battery was
dead or had been removed.


In California they have a line on the transfer of ownership form which states
that the odometer mileage is correct.  If incorrect you are required to 
fill in what you know (or guesstimate) to be the correct mileage.  If you
lie on this form and are caught you can be prosecuted and the buyer can
sue you for the value of the mileage differential.",0
"
	As a stong self-defense advocate, you're 'statement', does littel
but irk me.  Of course shooting someone because they throw a rock at your
car is out of the question, but what if they disabled your car with their
rock and then wanted to come kill/rape/rob/beat/ or otherwise harm you,
your wife, kids?  
	I think you would like the power to defend yourself in this situation,
wouldn't you?  Or is it that you value the lives of such rock throwers
more than your own or those of your family?  
	Don't think it couldn't happen to you.  From the sounds of it here
it has happened to a few people.  

	Please do not misunderstand.  The only justification for using
deadly force on someone, is that if you don't, it will mean your own 
death or grave bodily harm.  I am far far away from supporting
vilante justice or anything like that..

	Oh, and if you mean to be funny, please add the appropriate :-)
	
Followups to talk.politics.guns please...  we're getting a bit off track
here....",0
"
Because Greyhound has apparently gotten around to installing their
RADAR collision-prevention system. They use RADAR to monitor how close
other vehicles are and how fast their relative speeds are, and signals
a warning to the driver if they're coming up on something too fast
or are getting too close.

This is all I remember from the news reports a few months back; at
the time, they were only talking about the possibility of installing
the system. (They didn't mention how it worked in bumper-to-bumper
traffic, or how it discriminated between a Camaro approaching at
120mph and ye olde bridge support in the median being approached 
at 60mph on a curve.)

I do recall something about progressive stages of warnings, from
flashing lights to audible warnings--ie, it goes from a red ""Too
close"" light to hysterically screaming ""WE'RE ALL GOING TO DIE!!!!""  :-)

				James",0
"Hello,
 
I have a 92 Toyota 4X4 and in the last few weeks I have been getting quite
a few ""dings"" :( in the paint on the hood from rocks and debris off of the
road. I have never had any major problems with other car/trucks in the past
(maybe a ding once in a while). I went to the dealer and he said that it
happens all of the time and he recomended putting a bug deflector on the
hood. He said that the trucks, for some unknown reason, seem to have this
problem more than some cars.? 

It seems to me that either my luck is really bad or there might be a problem
with the paint (painted on a monday morning perhaps?). 
 
How well do these bug deflectors work for small road debris on trucks? 
 
If anyone has any experiences/suggestions please let me know, thanks.
 
--Greg ",0
"
Sounds a lot more like an Opel GT to me. I'd guess that this is on the same
chassis as the Kadett, rather than the bigger Manta - but I could easily
be wrong.  I think the later Kadett's were sold here as Buick Opels.",0
"

My whole point was not to say that the cars *couldn't* go that fast,
but that they *shouldn't* go that fast.  A family sedan designed to be
operable at 85mph doesn't suddenly become operable at 130mph because
you added some plastic aero effects, slightly wider tires, and a much
larger engine.  That's what the SHO is -- a slightly modified family
sedan with a powerful engine.  They didn't even bother improving the
*brakes.*

The Mustang is essentially the same deal as the SHO -- a big power
plant stuck in a mid-size sedan, with almost no other modifications.
I have real-life experience with the Mustang -- it handles like a
brick (except when you're invoking oversteer, of course, something I
personally avoid doing on the highway) and stopping power is
inadequate even from 80mph.  Lots of accelleration -- but the rest of
the car is not up to par.

I picked the Porsche example because they are designed with speed in
mind.  It didn't have to be the 911 -- it could have been the much
cheaper 944 or one of several Mercedes or Audi models.  All of these
cars are fairly expensive -- but so are the parts that make them
drivable at high speed.  This should be elementary.

There are a few things to keep in mind about Europe, since you brought
it up.  My Autobahn knowledge is admittedly second-hand, but I believe
the following to be true:

1. Drivers are much better disciplined in Europe than they are here.
2. The roads comprising the Autobahn are much better designed than
   they are here, and usually include animal fences.  This makes them
   far more predictable than most US highways.
3. Not all of Europe is the Autobahn.  Most places in Europe have
   speed limits that aren't out-of-line with what we used to have in
   the US -- if my friends weren't lying to me they're typically not
   much higher than 120km/h.

I strongly suspect you won't find a lot of Rabbit owners doing 120mph
(nearly 200km/h) on the Autobahn, but I could be wrong.  Some people
have no respect for their own lives.



If you think so you sure don't pay attention to my postings.",0
"
Ok, here's what I understand:

The SL/SL1/SL2/SW1/SW2 was meant to compete with the following cars:

Honda Civic
Toyota Tercel (SL,SL1)
Toyota Corolla (SL1,SL2)
Nissan Sentra
Mazda 323/Protoge'
Subaru Loyale/Impreza
Isuzu Stylus
Geo Prizm
Ford Escort
Mercury Tracer
Mistubishi Mirage
Plymouth/Dodge Colt


Their core competition is the Civic, Corolla, and Sentra.  Most of the other
models are in the same class, but aren't the first cars you would think of.
I threw in the Escort/Tracer because it has a good amount of Japanese
technology and has similar reliability stats.  I didn't include domestic small
cars such as the Cavalier, Sunbird, Shadow, Sundance, Tempo, and Topaz, since I
think Saturn is going after cars that have at least some degree of Japanese
roots.

The SC1/SC2 was meant to compete against the following cars:

Toyota Paseo
Honda Civic Si/Civic Coupes/del Sol Si
Nissan NX1600/NX2000
Mazda MX-3
Isuzu Impulse
Geo Storm
Ford Escort GT


If you look at the prices of these cars, they're more expensive than they're
4-door counterparts.  The is good reason for this.  It is a more upscale and
trend-driven market.  Even though many of these models are based on sedan
platforms, their interior, etc. is good enough to warrant slightly higher
prices.  Here are some of the platform derivations I can think of:

Tercel -> Paseo
Sentra -> NX1600/NX2000
Civic -> del Sol
323 -> MX-3 (not sure on this one)
Stylus -> Impulse/Storm

To illustrate, a Tercel starts at around $8000, while the Paseo starts at
around $11,000.  Even a 4-door Tercel will cost less than a 2-door Paseo.  Now,
you might be saying that the Tercel doesn't offer the power that some 4-doors
offer.  What I mean is that there is no 4-dr Tercel with a comparable
powerplant as its sport coupe derivative.  Let's take another example: the
Isuzu Stylus XS and Impulse XS/Storm GSi.  Both have the same powerplants (a
1.6L 140hp engine), but the smaller 2-dr coupes are generally more expensive.
Again, this is because the two-door sport coupe market is a more
fashion-oriented and trend-setting segment.  People are willing to pay more
money for this type of car.  


In short, even though the SC1/SC2 may be smaller, hence ""less"" car, it's market
orientation dictates a slightly higher price than its mechanically equivalent
sedan (SL1/SL2) version.

I hope this clears things up a bit......
",0
"

sure sounds like they got a ringer.  the 325is i drove was definitely
faster than that.  if you want to quote numbers, my AW AutoFile shows
0-60 in 7.4, 1/4 mile in 15.9.  it quotes Car and Driver's figures
of 6.9 and 15.3.  oh, BTW, these numbers are for the 325i.

i don't know how the addition of variable valve timing for 1993 affects it.
but don't take my word for it.  go drive it.",0
"Hello World,
	     just bought a new Stealth two weeks ago. Got a grad student 
 rebate. Someone told me that there's another $400 reabet for 1st time
 Chrysler buyer. True ? If yes can I still get it or am I too late ?
",0
"DeSoto's first year of manufacture was 1928, so this may indeed have been
an export special, as left hand controls were standard here by then.
",0
"
On the cars mentioned - 3 series from the late 80's the ""electronic""
odometer is really a mechanical drum type odometer, that is driven
by pulses from a speed sensor on the rear axle.  These pulses are 
converted into mechanical pulses that turn the odometer - and speedometer.
No way changing or erasing an eprom is going to change the mileage
reading.  It also means the odometer is just as easy (or hard) to
change as any other mechanical odometer.

On the other hand it is a bit easier to disconnect the speed sensor
and run the car with no speedometer or odometer reading...a simple
switch will do the job.  It also will disable the speed limiter,
which will enable the car to reach it's full speed.  ;-)

",0
"





Oh, well... I have to admit that the most disgusting feature of
Volvo's is their marketing. It looks like Volvo uses something like
""Do you dare to risk your family in any car?"" attitude, which is quite
annoying in the long run.

But now Volvo has produced a new  good car, the Volvo 850. Front drive,
2.4 L 20 valves motor, completely new chassis etc. Even the British magazine
""CAR"" liked it (and believe me, that is quite much for a Volvo). And
the American magazine ""Road & Track"" said that ""This is not your uncle
Olof's car"", and in a positive sense.

But in any case, I'd still like to own the 960 estate. Strong, tank-like
chassis, 3.0L inline six, rear drive. :-) :-)

BTW, the only car drivers who have blocked me are Land Rover or Jaguar
drivers... :-) :-) :-) :-)",0
"
Based on my experience with a '79 FJ40 ( the hard-top jeep-style model ) I 
would definitely give a new model consideration if I were in the market. The
older models are VERY well built. Unless Toyota lost its mind, I would
assume, until  proven otherwise, that the newer models have inherited some
if not all of the qualities of their ancestors.

Two major differences in the running gear (that I'm aware of) need study.
My '79 has a solid front axle housing whereas the newer models have
independant front suspension. The solid axle is theoretically stronger and
more reliable than the newer model, but only experience will tell. The
independant front suspension is, no doubt, a compromise made to satisfy
the typical user, who will never need a real utility vehicle. The second
difference is the type of transfer case used on the newer models. I'm
not sure, but I think Tioyota went to a full-time 4WD or all-wheel drive
system. The older Landcruisers have a ""lock-up"" type. Both have their
advantages and disadvantages.",0
"

Rumor has it that a guy at Dell Computer had his Miata totalled, so that would  
be about $10k.


--",0
"Now, my ego with regards to my shifting ability is as big as anyone else's, but
I just ordered my first car with an auto trans. I wasn't planning on it; but
after driving a few I was convinced: Things have changed since the days of 
""Slip 'n' Slide Withe Powerglide"". They shift *better* than I do, there's no
clutch to wear out (Honda wanted $800 for my 4WD wagon last year!- got it done
for $500), it only costs about 5% in gas milage on the highway and it makes it
easier to concentrate on all the radios in my car ;-)

(Oddly enough, while two of my best friends- both in the auto industry here in the 
Motor City- have switched wholeheartedly to autos, their wives *insist* on 
manual. Shift envy?)

Braggadocio aside, given today's technology and the warranties they're handing 
out the auto trans seemed like an excellent choice. Call me a convert.",0
"I am interested to know if there is any Pontiac e-mail car clubs out
there?  Has anyone started one, or is anybody thinking about starting one.
Thanks for any info you can give me",0
